Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,Status
murder-mystery-2-ocean-bundle,Ocean Bundle,,BloxCart,Murder Mystery 2,"game:murder-mystery-2, category:bundles, rarity:godly",TRUE,Title,Default Title,murder-mystery-2-ocean-bundle,shopify,10,deny,manual,55.60,76.45,FALSE,TRUE,https://cdn.shopify.com/s/files/1/0815/2068/9482/files/Groups18.png?v=1716893802,1,Ocean Bundle,FALSE,Ocean Bundle · Murder Mystery 2 | BloxCart,active
murder-mystery-2-harvester-gun,Harvester Gun,,BloxCart,Murder Mystery 2,"game:murder-mystery-2, category:guns, rarity:ancient",TRUE,Title,Default Title,murder-mystery-2-harvester-gun,shopify,10,deny,manual,17.78,27.79,FALSE,TRUE,https://cdn.shopify.com/s/files/1/0815/2068/9482/files/40.1.png?v=1715367785,1,Harvester Gun,FALSE,Harvester Gun · Murder Mystery 2 | BloxCart,active
murder-mystery-2-gingerscope-gun,Gingerscope Gun,,BloxCart,Murder Mystery 2,"game:murder-mystery-2, category:guns, rarity:ancient",TRUE,Title,Default Title,murder-mystery-2-gingerscope-gun,shopify,0,deny,manual,1014.87,1390.24,FALSE,TRUE,https://cdn.shopify.com/s/files/1/0815/2068/9482/files/65.1.png?v=1715366555,1,Gingerscope Gun,FALSE,Gingerscope Gun · Murder Mystery 2 | BloxCart,active
murder-mystery-2-bauble,Bauble,,BloxCart,Murder Mystery 2,"game:murder-mystery-2, category:guns, rarity:godly",TRUE,Title,Default Title,murder-mystery-2-bauble,shopify,10,deny,manual,52.82,83.40,FALSE,TRUE,https://cdn.shopify.com/s/files/1/0815/2068/9482/files/baub.png?v=1737662680,1,Bauble,FALSE,Bauble · Murder Mystery 2 | BloxCart,active
murder-mystery-2-watergun,Watergun,,BloxCart,Murder Mystery 2,"game:murder-mystery-2, category:guns, rarity:godly",TRUE,Title,Default Title,murder-mystery-2-watergun,shopify,10,deny,manual,18.06,27.79,FALSE,TRUE,https://cdn.shopify.com/s/files/1/0815/2068/9482/files/p10.png?v=1729437743,1,Watergun,FALSE,Watergun · Murder Mystery 2 | BloxCart,active
murder-mystery-2-ocean-gun,Ocean Gun,,BloxCart,Murder Mystery 2,"game:murder-mystery-2, category:guns, rarity:godly",TRUE,Title,Default Title,murder-mystery-2-ocean-gun,shopify,10,deny,manual,30.57,41.69,FALSE,TRUE,https://cdn.shopify.com/s/files/1/0815/2068/9482/files/60.1_8d073d77-9afb-4f4f-a4b5-6ff46329bf97.png?v=1715369643,1,Ocean Gun,FALSE,Ocean Gun · Murder Mystery 2 | BloxCart,active
murder-mystery-2-luger-gun,Luger Gun,,BloxCart,Murder Mystery 2,"game:murder-mystery-2, category:guns, rarity:godly",TRUE,Title,Default Title,murder-mystery-2-luger-gun,shopify,0,deny,manual,5.27,5.55,FALSE,TRUE,https://cdn.shopify.com/s/files/1/0815/2068/9482/files/43.1.png?v=1715367845,1,Luger Gun,FALSE,Luger Gun · Murder Mystery 2 | BloxCart,active
murder-mystery-2-iceblaster-gun,Iceblaster Gun,,BloxCart,Murder Mystery 2,"game:murder-mystery-2, category:guns, rarity:godly",TRUE,Title,Default Title,murder-mystery-2-iceblaster-gun,shopify,10,deny,manual,4.43,,FALSE,TRUE,https://cdn.shopify.com/s/files/1/0815/2068/9482/files/88.1.png?v=1715366295,1,Iceblaster Gun,FALSE,Iceblaster Gun · Murder Mystery 2 | BloxCart,active
murder-mystery-2-chroma-darkbringer-gun,Chroma Darkbringer Gun,,BloxCart,Murder Mystery 2,"game:murder-mystery-2, category:guns, rarity:godly",TRUE,Title,Default Title,murder-mystery-2-chroma-darkbringer-gun,shopify,0,deny,manual,5.27,6.94,FALSE,TRUE,https://cdn.shopify.com/s/files/1/0815/2068/9482/files/79.1.png?v=1737662926,1,Chroma Darkbringer Gun,FALSE,Chroma Darkbringer Gun · Murder Mystery 2 | BloxCart,active
murder-mystery-2-evergun,Evergun,,BloxCart,Murder Mystery 2,"game:murder-mystery-2, category:guns, rarity:godly",TRUE,Title,Default Title,murder-mystery-2-evergun,shopify,10,deny,manual,250.23,347.55,FALSE,TRUE,https://cdn.shopify.com/s/files/1/0815/2068/9482/files/18.1_0996a49d-9bbf-4aea-a4fc-815f770ea57c.png?v=1715375672,1,Evergun,FALSE,Evergun · Murder Mystery 2 | BloxCart,active
murder-mystery-2-soul-gun,Soul Gun,,BloxCart,Murder Mystery 2,"game:murder-mystery-2, category:guns, rarity:godly",TRUE,Title,Default Title,murder-mystery-2-soul-gun,shopify,0,deny,manual,43.08,62.55,FALSE,TRUE,https://cdn.shopify.com/s/files/1/0815/2068/9482/files/p6.png?v=1729437479,1,Soul Gun,FALSE,Soul Gun · Murder Mystery 2 | BloxCart,active
murder-mystery-2-elderwood-revolver-gun,Elderwood Revolver Gun,,BloxCart,Murder Mystery 2,"game:murder-mystery-2, category:guns, rarity:godly",TRUE,Title,Default Title,murder-mystery-2-elderwood-revolver-gun,shopify,10,deny,manual,3.32,5.55,FALSE,TRUE,https://cdn.shopify.com/s/files/1/0815/2068/9482/files/89.1.png?v=1715366314,1,Elderwood Revolver Gun,FALSE,Elderwood Revolver Gun · Murder Mystery 2 | BloxCart,active
murder-mystery-2-sugar-gun,Sugar Gun,,BloxCart,Murder Mystery 2,"game:murder-mystery-2, category:guns, rarity:godly",TRUE,Title,Default Title,murder-mystery-2-sugar-gun,shopify,0,deny,manual,4.16,5.55,FALSE,TRUE,https://cdn.shopify.com/s/files/1/0815/2068/9482/files/87.1.png?v=1715366278,1,Sugar Gun,FALSE,Sugar Gun · Murder Mystery 2 | BloxCart,active
